gene_name	id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ANK1	ENSG00000029534	379.175646201162	118.581843504817	813.49865069507	6.86022941329988	2.77825682244706	3.89316421686251e-06	0.00363320672138944
NEDD4L	ENSG00000049759	167.146055683297	54.222166230062	355.352538105356	6.55363964245938	2.71229634722768	3.91114226887109e-06	0.00363320672138944
COL5A3	ENSG00000080573	1702.32521187805	494.380043298059	3715.56715951137	7.51560911464882	2.90989003442397	1.41809496029339e-08	3.01102077069153e-05
MAP3K4	ENSG00000085511	922.580685327955	469.956076319359	1676.95503367561	3.56832290968409	1.83524617554987	1.54266977693653e-07	0.000280049539050497
CTSH	ENSG00000103811	135.121949183855	80.653536470453	225.902637039525	2.80090181938002	1.48589141319604	3.46423273225744e-05	0.0174902257947813
IL26	ENSG00000111536	206.581823496504	115.914351421935	357.694276954119	3.08584978966142	1.62566783735102	9.11906235598582e-05	0.0347529804607736
IL17A	ENSG00000112115	22624.9257628132	1495.99539782401	57839.8097044618	38.6630933414582	5.27288516362766	6.18707780476608e-26	9.19585374122382e-22
IL17F	ENSG00000112116	6434.36713275364	576.382732383764	16197.6744667034	28.102289601415	4.81261577202543	1.26438003088826e-06	0.00134232002850659
GZMK	ENSG00000113088	91.7396811104772	139.690962967524	11.8208780153988	0.0846216373935868	-3.5628295882597	1.16994734946946e-08	2.89815457586076e-05
CCL20	ENSG00000115009	11522.784323882	6799.63988631479	19394.6917198273	2.85231159945129	1.51213159693859	2.45085591293043e-05	0.0134915079384759
IL1R1	ENSG00000115594	4777.83872991758	1340.08295605694	10507.431686352	7.84088152070008	2.97101586021419	4.31313369518415e-09	1.28212212223044e-05
ABCG2	ENSG00000118777	20.1659870092768	8.56463598747273	39.5015720456169	4.61217173775918	2.20544623384844	3.81462335836137e-05	0.0182892732178468
IL22	ENSG00000127318	22010.7296647785	7630.1303603928	45978.3951720881	6.02589903453774	2.59117650041462	9.58192231809789e-07	0.00109550854933761
CCL4	ENSG00000129277	7945.07930392823	11593.8424411602	1863.80740854158	0.160758386876531	-2.63703408896991	6.95628678277315e-05	0.0279435920141506
PPARG	ENSG00000132170	237.017012605832	87.9059960893613	485.535373466617	5.52334761070273	2.4655429259706	1.30542117061876e-05	0.0102118288731088
HRH4	ENSG00000134489	109.438781743845	9.4112128901458	276.151396500012	29.3428062592401	4.87493494758531	3.1119142858111e-07	0.000462523820300103
DTX1	ENSG00000135144	31.0322504588805	12.8821771764469	61.28237259627	4.7571440570089	2.2500957140087	3.53028846022633e-05	0.0174902257947813
RNF144B	ENSG00000137393	12.5469497032454	3.97520870678924	26.8331846973391	6.75013230160993	2.75491577905325	5.90366293240211e-05	0.0258076888718507
OSBPL1A	ENSG00000141447	43.9928212774795	10.2427639519641	100.242916820005	9.78670574564814	3.29082332313823	9.10093840891663e-07	0.00109550854933761
FAM50B	ENSG00000145945	58.521398054823	24.0981965162577	115.893400619098	4.80921468712033	2.26580133069074	6.09718139401394e-06	0.00533072982701348
LRP12	ENSG00000147650	96.3958064218242	51.2613284968183	171.619936296834	3.34794164196284	1.74327438046156	1.53709308470646e-05	0.010878959294282
NTRK2	ENSG00000148053	373.067026563686	111.22427396782	809.471614223464	7.27783230536229	2.8635088092162	3.8261409084767e-10	1.89559774408964e-06
CCL5	ENSG00000161570	6262.6098876051	9383.02745495164	1061.91394202753	0.113173913976681	-3.1433866324189	1.85848051405934e-09	6.905648970116e-06
IL23R	ENSG00000162594	298.917041271751	178.014692561805	500.420955788328	2.81112164724598	1.49114588562192	0.000125682499811878	0.045561438895218
STX3	ENSG00000166900	322.12832743712	432.247914834689	138.595681774504	0.320639329925998	-1.64097669619124	6.36094346917679e-05	0.0270122007949642
TAP1	ENSG00000168394	2491.30954924164	1598.81768444685	3978.79599056629	2.48858642812852	1.3153264924066	2.44593434922853e-05	0.0134915079384759
PKIG	ENSG00000168734	15.8801761014683	6.63848249721033	31.2829987752317	4.71237195976304	2.23645341933102	8.26419022825855e-06	0.00682392552014482
ROR2	ENSG00000169071	145.168083533298	201.956277670498	50.5210933046307	0.250158568415776	-1.99908522660935	6.92524419620857e-05	0.0279435920141506
IL8	ENSG00000169429	2629.14536598679	884.132719145609	5537.49977738875	6.26319969556151	2.64689987849615	4.05141304738531e-05	0.0188175475385274
NPAS2	ENSG00000170485	57.1668222335188	18.4073197518044	121.765993036376	6.61508544851784	2.72575979223437	1.69578540769324e-07	0.000280049539050497
MSC	ENSG00000178860	613.99542544622	203.309508027966	1298.47195447664	6.38667599499594	2.67506526243099	9.79209676850804e-11	7.27699671351675e-07
PRF1	ENSG00000180644	1813.21337960643	2742.15420380942	264.97867260144	0.096631572445244	-3.37136155176761	0.000113694313147175	0.0422459644076614
CXCR3	ENSG00000186810	3187.57368669234	4363.25910483676	1228.09798978497	0.281463456622047	-1.82898047053026	6.76272521947445e-07	0.000913767135791353
IGF2R	ENSG00000197081	4596.56685101684	6026.34834329832	2213.59769721438	0.367319904378917	-1.44489101975242	0.000134477069940418	0.047588873583915
CCL4L2	ENSG00000197262	435.335250142362	648.371500904255	80.2748322058738	0.123809933184784	-3.01380102927261	2.43486771426892e-05	0.0134915079384759
SYNGAP1	ENSG00000197283	775.854877192054	346.23832306315	1491.88246740689	4.30883113749021	2.10729656053252	1.49167950663262e-05	0.010878959294282
C2CD4B	ENSG00000205502	35.3260374370085	10.2403833160266	77.1354609719782	7.53247789575003	2.91312453420028	4.25083097434004e-05	0.0191454850823079
RP11-383H13.1	ENSG00000235531	13.3300042045844	5.2308955807312	26.8285185776729	5.12885760451803	2.35863751748262	2.82664796537594e-05	0.0150044531104938
APOBEC3C	ENSG00000244509	1684.11241226742	2287.08057049677	679.165481885155	0.296957392164647	-1.75167214878543	2.25407517104505e-05	0.0134915079384759
CTD-2008A1.2	ENSG00000259479	40.5320035643546	15.0294840936557	83.0362026821861	5.52488709291344	2.46594498176049	8.39355131915278e-05	0.0328298298043599
RP11-178F10.2	ENSG00000264695	5.00077671824762	0.465392283321253	12.5597507764582	26.9874495701263	4.75421673725754	2.01888346627142e-05	0.0134915079384759
RP3-428L16.2	ENSG00000272841	168.492686894495	77.2962654124729	320.486722697865	4.14621225214006	2.0517939725187	2.34584884820415e-05	0.0134915079384759
